title,summary,authors,title_summary,keywords
"A Comparative Analysis of XML Documents, XML Enabled Databases and
  Native XML Databases","With the increasing popularity of XML data and a great need for a database
management system able to store, retrieve and manipulate XML-based data in an
efficient manner, database research communities and software industries have
tried to respond to this requirement. XML-enabled database and native XML
database are two approaches that have been proposed to address this challenge.
These two approaches are a legacy database systems which are extended to store,
retrieve and manipulate XML-based data. The major objective of this paper is to
explore and compare between the two approaches and reach to some criteria to
have a suitable guideline to select the best approach in each circumstance. In
general, native XML database systems have more ability in comparison with
XML-enabled database system for managing XML-based data","Amir Mohammad Saba, Elham Shahab, Hadi Abdolrahimpour, Mahsa Hakimi, Akbar Moazzam","A Comparative Analysis of XML Documents, XML Enabled Databases and
  Native XML Databases. With the increasing popularity of XML data and a great need for a database
management system able to store, retrieve and manipulate XML-based data in an
efficient manner, database research communities and software industries have
tried to respond to this requirement. XML-enabled database and native XML
database are two approaches that have been proposed to address this challenge.
These two approaches are a legacy database systems which are extended to store,
retrieve and manipulate XML-based data. The major objective of this paper is to
explore and compare between the two approaches and reach to some criteria to
have a suitable guideline to select the best approach in each circumstance. In
general, native XML database systems have more ability in comparison with
XML-enabled database system for managing XML-based data","XML Documents, XML Enabled Databases, Native XML Databases"
"A Comparative Analysis of Materialized Views Selection and Concurrency
  Control Mechanisms in NoSQL Databases","Increasing resource demands require relational databases to scale. While
relational databases are well suited for vertical scaling, specialized hardware
can be expensive. Conversely, emerging NewSQL and NoSQL data stores are
designed to scale horizontally. NewSQL databases provide ACID transaction
support; however, joins are limited to the partition keys, resulting in
restricted query expressiveness. On the other hand, NoSQL databases are
designed to scale out linearly on commodity hardware; however, they are limited
by slow join performance. Hence, we consider if the NoSQL join performance can
be improved while ensuring ACID semantics and without drastically sacrificing
write performance, disk utilization and query expressiveness.
  This paper presents the Synergy system that leverages schema and workload
driven mechanism to identify materialized views and a specialized concurrency
control system on top of a NoSQL database to enable scalable data management
with familiar relational conventions. Synergy trades slight write performance
degradation and increased disk utilization for faster join performance
(compared to standard NoSQL databases) and improved query expressiveness
(compared to NewSQL databases). Experimental results using the TPC-W benchmark
show that, for a database populated with 1M customers, the Synergy system
exhibits a maximum performance improvement of 80.5% as compared to other
evaluated systems.","Ashish Tapdiya, Yuan Xue, Daniel Fabbri","A Comparative Analysis of Materialized Views Selection and Concurrency
  Control Mechanisms in NoSQL Databases. Increasing resource demands require relational databases to scale. While
relational databases are well suited for vertical scaling, specialized hardware
can be expensive. Conversely, emerging NewSQL and NoSQL data stores are
designed to scale horizontally. NewSQL databases provide ACID transaction
support; however, joins are limited to the partition keys, resulting in
restricted query expressiveness. On the other hand, NoSQL databases are
designed to scale out linearly on commodity hardware; however, they are limited
by slow join performance. Hence, we consider if the NoSQL join performance can
be improved while ensuring ACID semantics and without drastically sacrificing
write performance, disk utilization and query expressiveness.
  This paper presents the Synergy system that leverages schema and workload
driven mechanism to identify materialized views and a specialized concurrency
control system on top of a NoSQL database to enable scalable data management
with familiar relational conventions. Synergy trades slight write performance
degradation and increased disk utilization for faster join performance
(compared to standard NoSQL databases) and improved query expressiveness
(compared to NewSQL databases). Experimental results using the TPC-W benchmark
show that, for a database populated with 1M customers, the Synergy system
exhibits a maximum performance improvement of 80.5% as compared to other
evaluated systems.","Synergy, Materialized Views, Concurrency, NoSQL, TPC-W"
Differential Privacy for Growing Databases,"We study the design of differentially private algorithms for adaptive
analysis of dynamically growing databases, where a database accumulates new
data entries while the analysis is ongoing. We provide a collection of tools
for machine learning and other types of data analysis that guarantee
differential privacy and accuracy as the underlying databases grow arbitrarily
large. We give both a general technique and a specific algorithm for adaptive
analysis of dynamically growing databases. Our general technique is illustrated
by two algorithms that schedule black box access to some algorithm that
operates on a fixed database to generically transform private and accurate
algorithms for static databases into private and accurate algorithms for
dynamically growing databases. These results show that almost any private and
accurate algorithm can be rerun at appropriate points of data growth with
minimal loss of accuracy, even when data growth is unbounded. Our specific
algorithm directly adapts the private multiplicative weights algorithm to the
dynamic setting, maintaining the accuracy guarantee of the static setting
through unbounded data growth. Along the way, we develop extensions of several
other differentially private algorithms to the dynamic setting, which may be of
independent interest for future work on the design of differentially private
algorithms for growing databases.","Rachel Cummings, Sara Krehbiel, Kevin A. Lai, Uthaipon Tantipongpipat","Differential Privacy for Growing Databases. We study the design of differentially private algorithms for adaptive
analysis of dynamically growing databases, where a database accumulates new
data entries while the analysis is ongoing. We provide a collection of tools
for machine learning and other types of data analysis that guarantee
differential privacy and accuracy as the underlying databases grow arbitrarily
large. We give both a general technique and a specific algorithm for adaptive
analysis of dynamically growing databases. Our general technique is illustrated
by two algorithms that schedule black box access to some algorithm that
operates on a fixed database to generically transform private and accurate
algorithms for static databases into private and accurate algorithms for
dynamically growing databases. These results show that almost any private and
accurate algorithm can be rerun at appropriate points of data growth with
minimal loss of accuracy, even when data growth is unbounded. Our specific
algorithm directly adapts the private multiplicative weights algorithm to the
dynamic setting, maintaining the accuracy guarantee of the static setting
through unbounded data growth. Along the way, we develop extensions of several
other differentially private algorithms to the dynamic setting, which may be of
independent interest for future work on the design of differentially private
algorithms for growing databases.","Differentially Private Algorithms, Dynamic Databases, Machine Learning, Data Analysis"
"Cracking In-Memory Database Index A Case Study for Adaptive Radix Tree
  Index","Indexes provide a method to access data in databases quickly. It can improve
the response speed of subsequent queries by building a complete index in
advance. However, it also leads to a huge overhead of the continuous updating
during creating the index. An in-memory database usually has a higher query
processing performance than disk databases and is more suitable for real-time
query processing. Therefore, there is an urgent need to reduce the index
creation and update cost for in-memory databases. Database cracking technology
is currently recognized as an effective method to reduce the index
initialization time. However, conventional cracking algorithms are focused on
simple column data structure rather than those complex index structure for
in-memory databases. In order to show the feasibility of in-memory database
index cracking and promote to future more extensive research, this paper
conducted a case study on the Adaptive Radix Tree (ART), a popular tree index
structure of in-memory databases. On the basis of carefully examining the ART
index construction overhead, an algorithm using auxiliary data structures to
crack the ART index is proposed.","Gang Wu, Yidong Song, Guodong Zhao, Wei Sun, Donghong Han, Baiyou Qiao, Guoren Wang, Ye Yuan","Cracking In-Memory Database Index A Case Study for Adaptive Radix Tree
  Index. Indexes provide a method to access data in databases quickly. It can improve
the response speed of subsequent queries by building a complete index in
advance. However, it also leads to a huge overhead of the continuous updating
during creating the index. An in-memory database usually has a higher query
processing performance than disk databases and is more suitable for real-time
query processing. Therefore, there is an urgent need to reduce the index
creation and update cost for in-memory databases. Database cracking technology
is currently recognized as an effective method to reduce the index
initialization time. However, conventional cracking algorithms are focused on
simple column data structure rather than those complex index structure for
in-memory databases. In order to show the feasibility of in-memory database
index cracking and promote to future more extensive research, this paper
conducted a case study on the Adaptive Radix Tree (ART), a popular tree index
structure of in-memory databases. On the basis of carefully examining the ART
index construction overhead, an algorithm using auxiliary data structures to
crack the ART index is proposed.","In-Memory Database Index, Adaptive Radix Tree, Database Cracking, Algorithms"
Automated Database Indexing using Model-free Reinforcement Learning,"Configuring databases for efficient querying is a complex task, often carried
out by a database administrator. Solving the problem of building indexes that
truly optimize database access requires a substantial amount of database and
domain knowledge, the lack of which often results in wasted space and memory
for irrelevant indexes, possibly jeopardizing database performance for querying
and certainly degrading performance for updating. We develop an architecture to
solve the problem of automatically indexing a database by using reinforcement
learning to optimize queries by indexing data throughout the lifetime of a
database. In our experimental evaluation, our architecture shows superior
performance compared to related work on reinforcement learning and genetic
algorithms, maintaining near-optimal index configurations and efficiently
scaling to large databases.","Gabriel Paludo Licks, Felipe Meneguzzi","Automated Database Indexing using Model-free Reinforcement Learning. Configuring databases for efficient querying is a complex task, often carried
out by a database administrator. Solving the problem of building indexes that
truly optimize database access requires a substantial amount of database and
domain knowledge, the lack of which often results in wasted space and memory
for irrelevant indexes, possibly jeopardizing database performance for querying
and certainly degrading performance for updating. We develop an architecture to
solve the problem of automatically indexing a database by using reinforcement
learning to optimize queries by indexing data throughout the lifetime of a
database. In our experimental evaluation, our architecture shows superior
performance compared to related work on reinforcement learning and genetic
algorithms, maintaining near-optimal index configurations and efficiently
scaling to large databases.","Database Indexing, Model-free, Reinforcement Learning, Genetic Algorithms"
Symmetric Private Information Retrieval with User-Side Common Randomness,"We consider the problem of symmetric private information retrieval (SPIR)
with user-side common randomness. In SPIR, a user retrieves a message out of
$K$ messages from $N$ non-colluding and replicated databases in such a way that
no single database knows the retrieved message index (user privacy), and the
user gets to know nothing further than the retrieved message (database
privacy). SPIR has a capacity smaller than the PIR capacity which requires only
user privacy, is infeasible in the case of a single database, and requires
shared common randomness among the databases. We introduce a new variant of
SPIR where the user is provided with a random subset of the shared database
common randomness, which is unknown to the databases. We determine the exact
capacity region of the triple $(d, \rho_S, \rho_U)$, where $d$ is the download
cost, $\rho_S$ is the amount of shared database (server) common randomness, and
$\rho_U$ is the amount of available user-side common randomness. We show that
with a suitable amount of $\rho_U$, this new SPIR achieves the capacity of
conventional PIR. As a corollary, single-database SPIR becomes feasible.
Further, the presence of user-side $\rho_U$ reduces the amount of required
server-side $\rho_S$.","Zhusheng Wang, Sennur Ulukus","Symmetric Private Information Retrieval with User-Side Common Randomness. We consider the problem of symmetric private information retrieval (SPIR)
with user-side common randomness. In SPIR, a user retrieves a message out of
$K$ messages from $N$ non-colluding and replicated databases in such a way that
no single database knows the retrieved message index (user privacy), and the
user gets to know nothing further than the retrieved message (database
privacy). SPIR has a capacity smaller than the PIR capacity which requires only
user privacy, is infeasible in the case of a single database, and requires
shared common randomness among the databases. We introduce a new variant of
SPIR where the user is provided with a random subset of the shared database
common randomness, which is unknown to the databases. We determine the exact
capacity region of the triple $(d, \rho_S, \rho_U)$, where $d$ is the download
cost, $\rho_S$ is the amount of shared database (server) common randomness, and
$\rho_U$ is the amount of available user-side common randomness. We show that
with a suitable amount of $\rho_U$, this new SPIR achieves the capacity of
conventional PIR. As a corollary, single-database SPIR becomes feasible.
Further, the presence of user-side $\rho_U$ reduces the amount of required
server-side $\rho_S$.","Symmetric Private Information Retrieval, SPIR, User-Side Common Randomness, Database"
"Enabling On-Demand Database Computing with MIT SuperCloud Database
  Management System","The MIT SuperCloud database management system allows for rapid creation and
flexible execution of a variety of the latest scientific databases, including
Apache Accumulo and SciDB. It is designed to permit these databases to run on a
High Performance Computing Cluster (HPCC) platform as seamlessly as any other
HPCC job. It ensures the seamless migration of the databases to the resources
assigned by the HPCC scheduler and centralized storage of the database files
when not running. It also permits snapshotting of databases to allow
researchers to experiment and push the limits of the technology without
concerns for data or productivity loss if the database becomes unstable.","Andrew Prout, Jeremy Kepner, Peter Michaleas, William Arcand, David Bestor, Bill Bergeron, Chansup Byun, Lauren Edwards, Vijay Gadepally, Matthew Hubbell, Julie Mullen, Antonio Rosa, Charles Yee, Albert Reuther","Enabling On-Demand Database Computing with MIT SuperCloud Database
  Management System. The MIT SuperCloud database management system allows for rapid creation and
flexible execution of a variety of the latest scientific databases, including
Apache Accumulo and SciDB. It is designed to permit these databases to run on a
High Performance Computing Cluster (HPCC) platform as seamlessly as any other
HPCC job. It ensures the seamless migration of the databases to the resources
assigned by the HPCC scheduler and centralized storage of the database files
when not running. It also permits snapshotting of databases to allow
researchers to experiment and push the limits of the technology without
concerns for data or productivity loss if the database becomes unstable.","MIT SuperCloud, Database Computing, Apache Accumulo, SciDB, High Performance Computing, HPCC"
"DooML: A new Database & Object-Oriented Modeling Language for
  database-driven web application design and development","A database driven web application is a very common software solution to
rising business problems. Modeling the database and the software architecture
can be challenging, hence there not being one combined modeling language for
database and software architecture, specifically suited for web application
development. In this paper we present Database object-oriented Modeling
Language (DooML) and its primary Archetype Diagram: a notation for specifying
the design of a database schema and corresponding object-oriented software
architecture. It combines the syntax for drawing Entity Relationship Diagrams,
the Relational Model and Universal Modeling Language Class Diagrams as well to
create a mixed diagram, stating database design as well as software design
specifications. By default, DooML ensures that the approach of advanced web
application development is model-driven and both database-oriented as well as
object-oriented.",Thijs Otter,"DooML: A new Database & Object-Oriented Modeling Language for
  database-driven web application design and development. A database driven web application is a very common software solution to
rising business problems. Modeling the database and the software architecture
can be challenging, hence there not being one combined modeling language for
database and software architecture, specifically suited for web application
development. In this paper we present Database object-oriented Modeling
Language (DooML) and its primary Archetype Diagram: a notation for specifying
the design of a database schema and corresponding object-oriented software
architecture. It combines the syntax for drawing Entity Relationship Diagrams,
the Relational Model and Universal Modeling Language Class Diagrams as well to
create a mixed diagram, stating database design as well as software design
specifications. By default, DooML ensures that the approach of advanced web
application development is model-driven and both database-oriented as well as
object-oriented.","DooML, Database, Object-Oriented Modeling Language, Web Application Development"
Order-Preserving Database Encryption with Secret Sharing,"The order-preserving encryption (OPE) problem was initially formulated by the
database community in 2004 soon after the paradigm database-as-a-service (DaaS)
was coined in 2002. Over the past two decades, OPE has drawn tremendous
research interest from communities of databases, cryptography, and security; we
have witnessed significant advances in OPE schemes both theoretically and
systematically. All existing OPE schemes assume that the outsourced database is
modeled as a single semi-honest adversary who should learn nothing more than
the order information of plaintext messages up to a negligible probability.
This paper addresses the OPE problem from a new perspective: instead of
modeling the outsourced database as a single semi-honest adversary, we assume
the outsourced database \textit{service} compromises a cluster of non-colluding
servers, which is a practical assumption as all major cloud vendors support
multiple database instances deployed to exclusive sub-networks or even to
distinct data centers. This assumption allows us to design a new stateless OPE
protocol, namely order-preserving database encryption with secret sharing
(ODES), by employing secret-sharing schemes among those presumably
non-colluding servers. We will demonstrate that ODES guarantees the latest
security level, namely IND-FAOCPA, and outperforms the state-of-the-art scheme
by orders of magnitude.",Dongfang Zhao,"Order-Preserving Database Encryption with Secret Sharing. The order-preserving encryption (OPE) problem was initially formulated by the
database community in 2004 soon after the paradigm database-as-a-service (DaaS)
was coined in 2002. Over the past two decades, OPE has drawn tremendous
research interest from communities of databases, cryptography, and security; we
have witnessed significant advances in OPE schemes both theoretically and
systematically. All existing OPE schemes assume that the outsourced database is
modeled as a single semi-honest adversary who should learn nothing more than
the order information of plaintext messages up to a negligible probability.
This paper addresses the OPE problem from a new perspective: instead of
modeling the outsourced database as a single semi-honest adversary, we assume
the outsourced database \textit{service} compromises a cluster of non-colluding
servers, which is a practical assumption as all major cloud vendors support
multiple database instances deployed to exclusive sub-networks or even to
distinct data centers. This assumption allows us to design a new stateless OPE
protocol, namely order-preserving database encryption with secret sharing
(ODES), by employing secret-sharing schemes among those presumably
non-colluding servers. We will demonstrate that ODES guarantees the latest
security level, namely IND-FAOCPA, and outperforms the state-of-the-art scheme
by orders of magnitude.","Order-Preserving Database Encryption, Secret Sharing, IND-FAOCPA"
LLM As DBA,"Database administrators (DBAs) play a crucial role in managing, maintaining
and optimizing a database system to ensure data availability, performance, and
reliability. However, it is hard and tedious for DBAs to manage a large number
of database instances (e.g., millions of instances on the cloud databases).
Recently large language models (LLMs) have shown great potential to understand
valuable documents and accordingly generate reasonable answers. Thus, we
propose D-Bot, a LLM-based database administrator that can continuously acquire
database maintenance experience from textual sources, and provide reasonable,
well-founded, in-time diagnosis and optimization advice for target databases.
This paper presents a revolutionary LLM-centric framework for database
maintenance, including (i) database maintenance knowledge detection from
documents and tools, (ii) tree of thought reasoning for root cause analysis,
and (iii) collaborative diagnosis among multiple LLMs. Our preliminary
experimental results that D-Bot can efficiently and effectively diagnose the
root causes and our code is available at
github.com/TsinghuaDatabaseGroup/DB-GPT.","Xuanhe Zhou, Guoliang Li, Zhiyuan Liu","LLM As DBA. Database administrators (DBAs) play a crucial role in managing, maintaining
and optimizing a database system to ensure data availability, performance, and
reliability. However, it is hard and tedious for DBAs to manage a large number
of database instances (e.g., millions of instances on the cloud databases).
Recently large language models (LLMs) have shown great potential to understand
valuable documents and accordingly generate reasonable answers. Thus, we
propose D-Bot, a LLM-based database administrator that can continuously acquire
database maintenance experience from textual sources, and provide reasonable,
well-founded, in-time diagnosis and optimization advice for target databases.
This paper presents a revolutionary LLM-centric framework for database
maintenance, including (i) database maintenance knowledge detection from
documents and tools, (ii) tree of thought reasoning for root cause analysis,
and (iii) collaborative diagnosis among multiple LLMs. Our preliminary
experimental results that D-Bot can efficiently and effectively diagnose the
root causes and our code is available at
github.com/TsinghuaDatabaseGroup/DB-GPT.","LLM, D-Bot, Database Maintenance, Tree of Thought, Collaborative Diagnosis"
Hybrid Querying Over Relational Databases and Large Language Models,"Database queries traditionally operate under the closed-world assumption,
providing no answers to questions that require information beyond the data
stored in the database. Hybrid querying using SQL offers an alternative by
integrating relational databases with large language models (LLMs) to answer
beyond-database questions. In this paper, we present the first cross-domain
benchmark, SWAN, containing 120 beyond-database questions over four real-world
databases. To leverage state-of-the-art language models in addressing these
complex questions in SWAN, we present two solutions: one based on schema
expansion and the other based on user defined functions. We also discuss
optimization opportunities and potential future directions. Our evaluation
demonstrates that using GPT-4 Turbo with few-shot prompts, one can achieves up
to 40.0\% in execution accuracy and 48.2\% in data factuality. These results
highlights both the potential and challenges for hybrid querying. We believe
that our work will inspire further research in creating more efficient and
accurate data systems that seamlessly integrate relational databases and large
language models to address beyond-database questions.","Fuheng Zhao, Divyakant Agrawal, Amr El Abbadi","Hybrid Querying Over Relational Databases and Large Language Models. Database queries traditionally operate under the closed-world assumption,
providing no answers to questions that require information beyond the data
stored in the database. Hybrid querying using SQL offers an alternative by
integrating relational databases with large language models (LLMs) to answer
beyond-database questions. In this paper, we present the first cross-domain
benchmark, SWAN, containing 120 beyond-database questions over four real-world
databases. To leverage state-of-the-art language models in addressing these
complex questions in SWAN, we present two solutions: one based on schema
expansion and the other based on user defined functions. We also discuss
optimization opportunities and potential future directions. Our evaluation
demonstrates that using GPT-4 Turbo with few-shot prompts, one can achieves up
to 40.0\% in execution accuracy and 48.2\% in data factuality. These results
highlights both the potential and challenges for hybrid querying. We believe
that our work will inspire further research in creating more efficient and
accurate data systems that seamlessly integrate relational databases and large
language models to address beyond-database questions.","Hybrid Querying, Relational Databases, Large Language Models, GPT-4 Turbo, Scala"
"NeurDB: On the Design and Implementation of an AI-powered Autonomous
  Database","Databases are increasingly embracing AI to provide autonomous system
optimization and intelligent in-database analytics, aiming to relieve end-user
burdens across various industry sectors. Nonetheless, most existing approaches
fail to account for the dynamic nature of databases, which renders them
ineffective for real-world applications characterized by evolving data and
workloads. This paper introduces NeurDB, an AI-powered autonomous database that
deepens the fusion of AI and databases with adaptability to data and workload
drift. NeurDB establishes a new in-database AI ecosystem that seamlessly
integrates AI workflows within the database. This integration enables efficient
and effective in-database AI analytics and fast-adaptive learned system
components. Empirical evaluations demonstrate that NeurDB substantially
outperforms existing solutions in managing AI analytics tasks, with the
proposed learned components more effectively handling environmental dynamism
than state-of-the-art approaches.","Zhanhao Zhao, Shaofeng Cai, Haotian Gao, Hexiang Pan, Siqi Xiang, Naili Xing, Gang Chen, Beng Chin Ooi, Yanyan Shen, Yuncheng Wu, Meihui Zhang","NeurDB: On the Design and Implementation of an AI-powered Autonomous
  Database. Databases are increasingly embracing AI to provide autonomous system
optimization and intelligent in-database analytics, aiming to relieve end-user
burdens across various industry sectors. Nonetheless, most existing approaches
fail to account for the dynamic nature of databases, which renders them
ineffective for real-world applications characterized by evolving data and
workloads. This paper introduces NeurDB, an AI-powered autonomous database that
deepens the fusion of AI and databases with adaptability to data and workload
drift. NeurDB establishes a new in-database AI ecosystem that seamlessly
integrates AI workflows within the database. This integration enables efficient
and effective in-database AI analytics and fast-adaptive learned system
components. Empirical evaluations demonstrate that NeurDB substantially
outperforms existing solutions in managing AI analytics tasks, with the
proposed learned components more effectively handling environmental dynamism
than state-of-the-art approaches.","NeurDB, Autonomous Database, AI, Databases, In-Database Analytics, Environment Dynamism"
"On the effects of logical database design on database size, query
  complexity, query performance, and energy consumption","Database normalization theory is the basis for logical design of relational
databases. Normalization reduces data redundancy and consequently eliminates
potential data anomalies, while increasing the computational cost of read
operations. Despite decades worth of applications of normalization theory, it
still remains largely unclear to what extent normalization affects database
size and efficiency. In this study, we study the effects of database
normalization using the Internet Movie Database (IMDb) public dataset and
PostgreSQL. The results indicate, rather intuitively, that (i) database size on
disk is reduced through normalization from 1NF to 2NF by 10%, but not from 2NF
to 4NF, (ii) the number of tables and table rows in total increase
monotonically from 1NF to 2NF to 4NF, and that (iii) query complexity increases
with further normalization. Surprisingly, however, the results also indicate
that (iv) normalization from 1NF to 2NF increases throughput by a factor of 4,
and consequently, (v) energy consumption per transaction reduces by 74% with
normalization from 1NF to 2NF. The results imply that the gains of
normalization from 2NF to 4NF in terms of throughput and energy consumption are
minimal, yet increase the storage space requirements by approximately 7%. While
these results represent merely one specific case, they provide needed empirical
evaluation on the practical effects and magnitude of database normalization.",Toni Taipalus,"On the effects of logical database design on database size, query
  complexity, query performance, and energy consumption. Database normalization theory is the basis for logical design of relational
databases. Normalization reduces data redundancy and consequently eliminates
potential data anomalies, while increasing the computational cost of read
operations. Despite decades worth of applications of normalization theory, it
still remains largely unclear to what extent normalization affects database
size and efficiency. In this study, we study the effects of database
normalization using the Internet Movie Database (IMDb) public dataset and
PostgreSQL. The results indicate, rather intuitively, that (i) database size on
disk is reduced through normalization from 1NF to 2NF by 10%, but not from 2NF
to 4NF, (ii) the number of tables and table rows in total increase
monotonically from 1NF to 2NF to 4NF, and that (iii) query complexity increases
with further normalization. Surprisingly, however, the results also indicate
that (iv) normalization from 1NF to 2NF increases throughput by a factor of 4,
and consequently, (v) energy consumption per transaction reduces by 74% with
normalization from 1NF to 2NF. The results imply that the gains of
normalization from 2NF to 4NF in terms of throughput and energy consumption are
minimal, yet increase the storage space requirements by approximately 7%. While
these results represent merely one specific case, they provide needed empirical
evaluation on the practical effects and magnitude of database normalization.","Database Normalization, Query Performance, Energy Consumption, Internet Movie Database, IMDb, PostgreSQL"
Role of Databases in GenAI Applications,"Generative AI (GenAI) is transforming industries by enabling intelligent
content generation, automation, and decision-making. However, the effectiveness
of GenAI applications depends significantly on efficient data storage,
retrieval, and contextual augmentation. This paper explores the critical role
of databases in GenAI workflows, emphasizing the importance of choosing the
right database architecture to optimize performance, accuracy, and scalability.
It categorizes database roles into conversational context (key-value/document
databases), situational context (relational databases/data lakehouses), and
semantic context (vector databases) each serving a distinct function in
enriching AI-generated responses. Additionally, the paper highlights real-time
query processing, vector search for semantic retrieval, and the impact of
database selection on model efficiency and scalability. By leveraging a
multi-database approach, GenAI applications can achieve more context-aware,
personalized, and high-performing AI-driven solutions.",Santosh Bhupathi,"Role of Databases in GenAI Applications. Generative AI (GenAI) is transforming industries by enabling intelligent
content generation, automation, and decision-making. However, the effectiveness
of GenAI applications depends significantly on efficient data storage,
retrieval, and contextual augmentation. This paper explores the critical role
of databases in GenAI workflows, emphasizing the importance of choosing the
right database architecture to optimize performance, accuracy, and scalability.
It categorizes database roles into conversational context (key-value/document
databases), situational context (relational databases/data lakehouses), and
semantic context (vector databases) each serving a distinct function in
enriching AI-generated responses. Additionally, the paper highlights real-time
query processing, vector search for semantic retrieval, and the impact of
database selection on model efficiency and scalability. By leveraging a
multi-database approach, GenAI applications can achieve more context-aware,
personalized, and high-performing AI-driven solutions.","GenAI, Databases, Real-time Query Processing, Vector Search, Contextual Augmentation"
"Building Scalable AI-Powered Applications with Cloud Databases:
  Architectures, Best Practices and Performance Considerations","The rapid adoption of AI-powered applications demands high-performance,
scalable, and efficient cloud database solutions, as traditional architectures
often struggle with AI-driven workloads requiring real-time data access, vector
search, and low-latency queries. This paper explores how cloud-native databases
enable AI-driven applications by leveraging purpose-built technologies such as
vector databases (pgvector), graph databases (AWS Neptune), NoSQL stores
(Amazon DocumentDB, DynamoDB), and relational cloud databases (Aurora MySQL and
PostgreSQL). It presents architectural patterns for integrating AI workloads
with cloud databases, including Retrieval-Augmented Generation (RAG) [1] with
LLMs, real-time data pipelines, AI-driven query optimization, and
embeddings-based search. Performance benchmarks, scalability considerations,
and cost-efficient strategies are evaluated to guide the design of AI-enabled
applications. Real-world case studies from industries such as healthcare,
finance, and customer experience illustrate how enterprises utilize cloud
databases to enhance AI capabilities while ensuring security, governance, and
compliance with enterprise and regulatory standards. By providing a
comprehensive analysis of AI and cloud database integration, this paper serves
as a practical guide for researchers, architects, and enterprises to build
next-generation AI applications that optimize performance, scalability, and
cost efficiency in cloud environments.",Santosh Bhupathi,"Building Scalable AI-Powered Applications with Cloud Databases:
  Architectures, Best Practices and Performance Considerations. The rapid adoption of AI-powered applications demands high-performance,
scalable, and efficient cloud database solutions, as traditional architectures
often struggle with AI-driven workloads requiring real-time data access, vector
search, and low-latency queries. This paper explores how cloud-native databases
enable AI-driven applications by leveraging purpose-built technologies such as
vector databases (pgvector), graph databases (AWS Neptune), NoSQL stores
(Amazon DocumentDB, DynamoDB), and relational cloud databases (Aurora MySQL and
PostgreSQL). It presents architectural patterns for integrating AI workloads
with cloud databases, including Retrieval-Augmented Generation (RAG) [1] with
LLMs, real-time data pipelines, AI-driven query optimization, and
embeddings-based search. Performance benchmarks, scalability considerations,
and cost-efficient strategies are evaluated to guide the design of AI-enabled
applications. Real-world case studies from industries such as healthcare,
finance, and customer experience illustrate how enterprises utilize cloud
databases to enhance AI capabilities while ensuring security, governance, and
compliance with enterprise and regulatory standards. By providing a
comprehensive analysis of AI and cloud database integration, this paper serves
as a practical guide for researchers, architects, and enterprises to build
next-generation AI applications that optimize performance, scalability, and
cost efficiency in cloud environments.","AI-Powered Applications, Cloud Databases, Retrieval-Augmented Generation,RAG, Real-time Data Access, Vector Database, Graph Database, NoSQL"
"WikiDBGraph: Large-Scale Database Graph of Wikidata for Collaborative
  Learning","Tabular data, ubiquitous and rich in informational value, is an increasing
focus for deep representation learning, yet progress is hindered by studies
centered on single tables or isolated databases, which limits model
capabilities due to data scale. While collaborative learning approaches such as
federated learning, transfer learning, split learning, and tabular foundation
models aim to learn from multiple correlated databases, they are challenged by
a scarcity of real-world interconnected tabular resources. Current data lakes
and corpora largely consist of isolated databases lacking defined
inter-database correlations. To overcome this, we introduce WikiDBGraph, a
large-scale graph of 100,000 real-world tabular databases from WikiData,
interconnected by 17 million edges and characterized by 13 node and 12 edge
properties derived from its database schema and data distribution.
WikiDBGraph's weighted edges identify both instance- and feature-overlapped
databases. Experiments on these newly identified databases confirm that
collaborative learning yields superior performance, thereby offering
considerable promise for structured foundation model training while also
exposing key challenges and future directions for learning from interconnected
tabular data.","Zhaomin Wu, Ziyang Wang, Bingsheng He","WikiDBGraph: Large-Scale Database Graph of Wikidata for Collaborative
  Learning. Tabular data, ubiquitous and rich in informational value, is an increasing
focus for deep representation learning, yet progress is hindered by studies
centered on single tables or isolated databases, which limits model
capabilities due to data scale. While collaborative learning approaches such as
federated learning, transfer learning, split learning, and tabular foundation
models aim to learn from multiple correlated databases, they are challenged by
a scarcity of real-world interconnected tabular resources. Current data lakes
and corpora largely consist of isolated databases lacking defined
inter-database correlations. To overcome this, we introduce WikiDBGraph, a
large-scale graph of 100,000 real-world tabular databases from WikiData,
interconnected by 17 million edges and characterized by 13 node and 12 edge
properties derived from its database schema and data distribution.
WikiDBGraph's weighted edges identify both instance- and feature-overlapped
databases. Experiments on these newly identified databases confirm that
collaborative learning yields superior performance, thereby offering
considerable promise for structured foundation model training while also
exposing key challenges and future directions for learning from interconnected
tabular data.","WikiDBGraph, Large-Scale Database Graph, Wikidata, Collaborative Learning, Deep Representation Learning"
